Series ID,Year,Period,Label,Value
CUUR0400SEHF,2016,M01,2016 Jan,240.609
CUUR0400SEHF,2016,M02,2016 Feb,241.383
CUUR0400SEHF,2016,M03,2016 Mar,239.236
CUUR0400SEHF,2016,M04,2016 Apr,241.273
CUUR0400SEHF,2016,M05,2016 May,251.024
CUUR0400SEHF,2016,M06,2016 Jun,252.137
CUUR0400SEHF,2016,M07,2016 Jul,254.664
CUUR0400SEHF,2016,M08,2016 Aug,258.008
CUUR0400SEHF,2016,M09,2016 Sep,256.818
CUUR0400SEHF,2016,M10,2016 Oct,258.405
CUUR0400SEHF,2016,M11,2016 Nov,247.811
CUUR0400SEHF,2016,M12,2016 Dec,247.545
CUUR0400SEHF,2017,M01,2017 Jan,246.089
CUUR0400SEHF,2017,M02,2017 Feb,245.570
CUUR0400SEHF,2017,M03,2017 Mar,245.440
CUUR0400SEHF,2017,M04,2017 Apr,249.575
CUUR0400SEHF,2017,M05,2017 May,259.321
CUUR0400SEHF,2017,M06,2017 Jun,259.358
CUUR0400SEHF,2017,M07,2017 Jul,259.008
CUUR0400SEHF,2017,M08,2017 Aug,258.781
CUUR0400SEHF,2017,M09,2017 Sep,258.133
CUUR0400SEHF,2017,M10,2017 Oct,259.651
CUUR0400SEHF,2017,M11,2017 Nov,248.236
CUUR0400SEHF,2017,M12,2017 Dec,249.739
CUUR0400SEHF,2018,M01,2018 Jan,252.135
CUUR0400SEHF,2018,M02,2018 Feb,253.481
CUUR0400SEHF,2018,M03,2018 Mar,253.156
CUUR0400SEHF,2018,M04,2018 Apr,254.807
CUUR0400SEHF,2018,M05,2018 May,259.694
CUUR0400SEHF,2018,M06,2018 Jun,261.183
CUUR0400SEHF,2018,M07,2018 Jul,263.022
CUUR0400SEHF,2018,M08,2018 Aug,266.349
CUUR0400SEHF,2018,M09,2018 Sep,259.548
CUUR0400SEHF,2018,M10,2018 Oct,258.541
CUUR0400SEHF,2018,M11,2018 Nov,251.610
CUUR0400SEHF,2018,M12,2018 Dec,254.277
CUUR0400SEHF,2019,M01,2019 Jan,253.980
CUUR0400SEHF,2019,M02,2019 Feb,252.537
CUUR0400SEHF,2019,M03,2019 Mar,254.042
CUUR0400SEHF,2019,M04,2019 Apr,253.686
CUUR0400SEHF,2019,M05,2019 May,260.761
CUUR0400SEHF,2019,M06,2019 Jun,263.219
CUUR0400SEHF,2019,M07,2019 Jul,265.733
CUUR0400SEHF,2019,M08,2019 Aug,263.965
CUUR0400SEHF,2019,M09,2019 Sep,262.225
CUUR0400SEHF,2019,M10,2019 Oct,264.312
CUUR0400SEHF,2019,M11,2019 Nov,256.323
CUUR0400SEHF,2019,M12,2019 Dec,256.032
CUUR0400SEHF,2020,M01,2020 Jan,262.095
CUUR0400SEHF,2020,M02,2020 Feb,261.609
CUUR0400SEHF,2020,M03,2020 Mar,261.370
CUUR0400SEHF,2020,M04,2020 Apr,261.216
CUUR0400SEHF,2020,M05,2020 May,270.223
CUUR0400SEHF,2020,M06,2020 Jun,269.039
CUUR0400SEHF,2020,M07,2020 Jul,270.792
